,YEAR,COUNTY,POUNDS,VALUE,FIPS
165,1984,Lincoln,3004389,7506168,015
166,1984,Sagadahoc,622056,1563829,023
167,1984,Washington,1962383,4871950,029
168,1984,York,1110053,2825134,031
169,1984,Total,19545682,49298135,
170,1985,Cumberland,4533636,9801714,005
171,1985,Hancock,3745265,8592995,009
172,1985,Knox,5407181,12170058,013
173,1985,Lincoln,2740767,6016037,015
174,1985,Sagadahoc,520048,1162365,023
175,1985,Washington,1706873,3802041,029
176,1985,York,1471407,3490348,031
177,1985,Total,20125177,45035558,
178,1986,Cumberland,4849236,11080754,005
179,1986,Hancock,3506325,8480346,009
180,1986,Knox,4766660,11111098,013
181,1986,Lincoln,2725809,6395265,015
182,1986,Sagadahoc,603101,1414965,023
183,1986,Washington,1824153,4205278,029
184,1986,York,1429033,3483518,031
185,1986,Total,19704317,46171224,
186,1987,Cumberland,4559383,11888723,005
187,1987,Hancock,3497830,10052882,009
188,1987,Knox,5090703,14411711,013
189,1987,Lincoln,2437208,6707997,015
190,1987,Sagadahoc,546418,1493718,023
191,1987,Washington,2262085,6094344,029
192,1987,York,1354139,3898762,031
193,1987,Total,19747766,54548137,
194,1988,Cumberland,5112196,13818159,005
195,1988,Hancock,3591152,10627748,009
196,1988,Knox,5843876,16263371,013
197,1988,Lincoln,2638248,7190508,015
198,1988,Sagadahoc,539410,1498831,023
199,1988,Washington,2498102,6994500,029
200,1988,York,1516083,4349321,031
201,1988,Total,21739067,60742438,
202,1989,Cumberland,5608429,13065569,005
203,1989,Hancock,4250571,11726236,009
204,1989,Knox,6390475,16601508,013
205,1989,Lincoln,2594524,6451529,015
207,1989,Sagadahoc,529325,1359354,023
208,1989,Washington,2334633,5812471,029
209,1989,York,1543912,4227060,031
210,1989,Total,23368719,59552211,
211,1990,Cumberland,6787884,13629935,005
212,1990,Hancock,5106442,11711525,009
213,1990,Knox,7590126,17147472,013
214,1990,Lincoln,3494217,7383200,015
215,1990,Sagadahoc,736903,1646795,023
216,1990,Washington,2254275,5116366,029
217,1990,York,2098391,4992680,031
218,1990,Total,28068238,61627973,
219,1991,Cumberland,7749756,16988836,005
220,1991,Hancock,6170719,15478852,009
221,1991,Knox,7437632,17438775,013
222,1991,Lincoln,4113817,9233186,015
223,1991,Sagadahoc,747107,1690358,023
224,1991,Washington,2315861,5715437,029
225,1991,York,2253754,5719903,031
226,1991,Total,30788646,72265347,
227,1992,Cumberland,6828259,16811285,005
228,1992,Hancock,3679896,11338289,009
229,1992,Knox,7603133,20555537,013
230,1992,Lincoln,3849510,9716413,015
231,1992,Sagadahoc,787094,2054477,023
232,1992,Washington,1988616,5509805,029
233,1992,York,2093940,5836893,031
234,1992,Total,26830448,71822699,
235,1993,Cumberland,6775632,15405739,005
236,1993,Hancock,4860419,12787474,009
237,1993,Knox,9452680,23730240,013
238,1993,Lincoln,3904496,9121585,015
239,1993,Sagadahoc,795007,1862573,023
240,1993,Washington,2241069,6189100,029
241,1993,York,1897161,4766727,031
242,1993,Total,29926464,73863438,
243,1994,Cumberland,7657841,19179259,005
244,1994,Hancock,6818893,18443049,009
245,1994,Knox,13361606,34623540,013
246,1994,Lincoln,4653983,11412922,015
247,1994,Sagadahoc,1041593,2736076,023
248,1994,Washington,2711394,7391732,029
249,1994,York,2703557,7150100,031
250,1994,Total,38948867,100936678,
251,1995,Cumberland,5930682,15762117,005
252,1995,Hancock,7462326,20069012,009
253,1995,Knox,14265374,39019937,013
254,1995,Lincoln,3938181,10515328,015
255,1995,Sagadahoc,785248,2154172,023
256,1995,Washington,2538271,7502859,029
257,1995,York,2288242,6869748,031
258,1995,Total,37208324,101893173,
259,1996,Cumberland,6058133,16825569,005
260,1996,Hancock,5995604,18443475,009
262,1996,Lincoln,4088410,11582610,015
263,1996,Sagadahoc,921660,2829996,023
265,1996,Washington,3377524,10946845,029
266,1996,York,2531510,8241330,031
267,1996,Total,36083443,106980557,
268,1997,Cumberland,9121551,26082338,005
269,1997,Hancock,8910151,26594709,009
270,1997,Knox,17333911,51000288,013
271,1997,Lincoln,4132380,11920293,015
273,1997,Sagadahoc,1016955,2939848,023
274,1997,Washington,3954077,11960030,029
275,1997,York,2554084,7794203,031
276,1997,Total,47023271,138292438,
277,1998,Cumberland,7764518,21761129,005
278,1998,Hancock,10431174,31176249,009
279,1998,Knox,16550383,46198512,013
280,1998,Lincoln,4512540,12936440,015
281,1998,Sagadahoc,1020663,3124052,023
282,1998,Washington,4397233,14254906,029
283,1998,York,2360325,7738053,031
284,1998,Total,47036836,137189341,
285,1999,Cumberland,10154577,34240433,005
286,1999,Hancock,10806518,37898308,009
287,1999,Knox,19132420,64583196,013
288,1999,Lincoln,4925141,16877253,015
289,1999,Sagadahoc,1137076,3999913,023
290,1999,Washington,3889216,14564325,029
291,1999,York,3449470,12450643,031
292,1999,Total,53494418,184614071,
293,2000,Cumberland,9519281,30514219,005
294,2000,Hancock,15382558,49411598,009
295,2000,Knox,18653641,59804314,013
296,2000,Lincoln,5000332,15828327,015
297,2000,Sagadahoc,905903,3088365,023
298,2000,Washington,4788939,18363877,029
299,2000,York,2964752,10704117,031
300,2000,Total,57215406,187714817,
301,2001,Cumberland,6520260,19803951,005
302,2001,Hancock,10082125,32411845,009
304,2001,Lincoln,5041845,15105261,015
305,2001,Sagadahoc,422716,1283635,023
306,2001,Washington,6948785,23047741,029
307,2001,York,2378011,7749303,031
308,2001,Total,48617693,153982266,
309,2002,Cumberland,9591508,31220418,005
310,2002,Hancock,16549841,57267041,009
312,2002,Lincoln,5359690,16770773,015
313,2002,Sagadahoc,1414264,4669764,023
314,2002,Washington,7499213,25857154,029
315,2002,York,3446155,11937259,031
316,2002,Total,63625745,210950030,
317,2003,Cumberland,5595642,20519959,005
318,2003,Hancock,13962989,53555884,009
320,2003,Lincoln,5019251,18302492,015
322,2003,Sagadahoc,911867,3580788,023
323,2003,Washington,6872748,26651797,029
324,2003,York,2718933,10640869,031
325,2003,Total,54970948,205715329,
326,2004,Cumberland,9255280,36591790,005
327,2004,Hancock,16537170,69166111,009
328,2004,Knox,24804328,98174305,013
329,2004,Lincoln,6770722,25908554,015
330,2004,Sagadahoc,1303911,5302330,023
331,2004,Waldo,401706,1762878,027
332,2004,Washington,7873692,32674789,029
333,2004,York,4627535,19498090,031
334,2004,Total,71574344,289078847,
335,2005,Cumberland,8335125,37755755,005
336,2005,Hancock,18882812,88660604,009
337,2005,Knox,21419378,98319258,013
338,2005,Lincoln,5574889,24377448,015
340,2005,Sagadahoc,1526964,7136879,023
341,2005,Waldo,284661,1380216,027
342,2005,Washington,9323532,44493250,029
343,2005,York,3367845,15752438,031
344,2005,Total,68729861,317948336,
345,2006,Cumberland,9444550,38237173,005
346,2006,Hancock,21159600,85552617,009
347,2006,Knox,22123241,90162700,013
348,2006,Lincoln,6361330,24580617,015
350,2006,Sagadahoc,1850308,7951396,023
351,2006,Waldo,372901,1620134,027
352,2006,Washington,10686067,43180287,029
353,2006,York,3173459,13464040,031
354,2006,Total,75416341,305703938,
355,2007,Cumberland,8367473,36552598,005
356,2007,Hancock,17635973,78327083,009
357,2007,Knox,19201116,83313212,013
358,2007,Lincoln,5345748,22569053,015
360,2007,Sagadahoc,1406855,6162745,023
361,2007,Waldo,304784,1366213,027
362,2007,Washington,9273724,41086679,029
363,2007,York,2423850,11211246,031
364,2007,Total,63981361,280678206,
365,2008,Cumberland,9077125,32153313,005
366,2008,Hancock,19350787,69190516,009
367,2008,Knox,20218311,69876410,013
368,2008,Lincoln,5635488,18883924,015
370,2008,Sagadahoc,1381763,5024168,023
371,2008,Waldo,306738,1066923,027
372,2008,Washington,10988328,37431946,029
373,2008,York,2949486,11520855,031
374,2008,Total,69908504,245150026,
375,2009,Cumberland,10330898,30478441,005
376,2009,Hancock,23528918,69567150,009
377,2009,Knox,23375555,66435362,013
378,2009,Lincoln,5661410,16636556,015
379,2009,Sagadahoc,1535623,4677360,023
380,2009,Waldo,293435,831688,027
381,2009,Washington,13141424,37945045,029
382,2009,York,3307374,10965289,031
383,2009,Total,81174638,237536890,
